O*NET-SOC CODE	TITLE	TASKS
25-1063.00	Economics Teachers, Postsecondary	Acts as adviser to student organizations.
25-1063.00	Economics Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1063.00	Economics Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1063.00	Economics Teachers, Postsecondary	Stimulates class discussions.
25-1063.00	Economics Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1065.00	Political Science Teachers, Postsecondary	Acts as adviser to student organizations.
25-1065.00	Political Science Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1065.00	Political Science Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1065.00	Political Science Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1065.00	Political Science Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1065.00	Political Science Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1065.00	Political Science Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1065.00	Political Science Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1065.00	Political Science Teachers, Postsecondary	Stimulates class discussions.
25-1066.00	Psychology Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1066.00	Psychology Teachers, Postsecondary	Stimulates class discussions.
25-1066.00	Psychology Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1066.00	Psychology Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1066.00	Psychology Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1066.00	Psychology Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1066.00	Psychology Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1066.00	Psychology Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1066.00	Psychology Teachers, Postsecondary	Acts as adviser to student organizations.
25-1067.00	Sociology Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1067.00	Sociology Teachers, Postsecondary	Stimulates class discussions.
25-1067.00	Sociology Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1067.00	Sociology Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1067.00	Sociology Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1067.00	Sociology Teachers, Postsecondary	Acts as adviser to student organizations.
25-1067.00	Sociology Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1067.00	Sociology Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1067.00	Sociology Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1071.00	Health Specialties Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1071.00	Health Specialties Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1071.00	Health Specialties Teachers, Postsecondary	Stimulates class discussions.
25-1071.00	Health Specialties Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1071.00	Health Specialties Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1071.00	Health Specialties Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1071.00	Health Specialties Teachers, Postsecondary	Acts as adviser to student organizations.
25-1071.00	Health Specialties Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1071.00	Health Specialties Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Instructs and lectures nursing students in principles and application of physical, biological, and psychological subjects related to nursing.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Conducts and supervises laboratory work.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Issues assignments to students.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Participates in planning curriculum, teaching schedule, and course outline with medical and nursing personnel.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Directs seminars and panels.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Supervises student nurses and demonstrates patient care in clinical units of hospital.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Cooperates with medical and nursing personnel in evaluating and improving teaching and nursing practices.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Prepares and administers examinations to nursing students.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Evaluates student progress and maintains records of student classroom and clinical experience.
25-1072.00	Nursing Instructors and Teachers, Postsecondary	Conducts classes for patients in health practices and procedures.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Stimulates class discussions.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1121.00	Art, Drama, and Music Teachers, Postsecondary	Acts as adviser to student organizations.
25-1123.00	English Language and Literature Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1123.00	English Language and Literature Teachers, Postsecondary	Stimulates class discussions.
25-1123.00	English Language and Literature Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1123.00	English Language and Literature Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1123.00	English Language and Literature Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1123.00	English Language and Literature Teachers, Postsecondary	Acts as adviser to student organizations.
25-1123.00	English Language and Literature Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1123.00	English Language and Literature Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1123.00	English Language and Literature Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Stimulates class discussions.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Acts as adviser to student organizations.
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1125.00	History Teachers, Postsecondary	Prepares and delivers lectures to students.
25-1125.00	History Teachers, Postsecondary	Compiles bibliographies of specialized materials for outside reading assignments.
25-1125.00	History Teachers, Postsecondary	Advises students on academic and vocational curricula.
25-1125.00	History Teachers, Postsecondary	Compiles, administers, and grades examinations, or assigns this work to others.
25-1125.00	History Teachers, Postsecondary	Stimulates class discussions.
25-1125.00	History Teachers, Postsecondary	Directs research of other teachers or graduate students working for advanced academic degrees.
25-1125.00	History Teachers, Postsecondary	Serves on faculty committee providing professional consulting services to government and industry.
25-1125.00	History Teachers, Postsecondary	Acts as adviser to student organizations.
25-1125.00	History Teachers, Postsecondary	Conducts research in particular field of knowledge and publishes findings in professional journals.
25-1191.00	Graduate Teaching Assistants	Develops teaching materials, such as syllabi and visual aids.
25-1191.00	Graduate Teaching Assistants	Assists faculty member or staff with student conferences.
25-1191.00	Graduate Teaching Assistants	Assists library staff in maintaining library collection.
25-1191.00	Graduate Teaching Assistants	Assists faculty member or staff with laboratory or field research.
25-1191.00	Graduate Teaching Assistants	Teaches lower-level courses.
25-1191.00	Graduate Teaching Assistants	Prepares and gives examinations.
25-1191.00	Graduate Teaching Assistants	Grades examinations and papers.
25-1194.00	Vocational Education Teachers Postsecondary	Conducts on-the-job training, classes, or training sessions to teach and demonstrate principles, techniques, procedures, or methods of designated subjects.
25-1194.00	Vocational Education Teachers Postsecondary	Plans course content and method of instruction.
25-1194.00	Vocational Education Teachers Postsecondary	Selects and assembles books, materials, supplies and equipment for training, courses or projects.
25-1194.00	Vocational Education Teachers Postsecondary	Participates in meetings, seminars, and training sessions and integrates relevant information into training program.
25-1194.00	Vocational Education Teachers Postsecondary	Recommends advancement, transfer, or termination of student or trainee based on mastery of subject.
25-1194.00	Vocational Education Teachers Postsecondary	Arranges for lectures by subject matter experts in designated fields.
25-1194.00	Vocational Education Teachers Postsecondary	Reviews enrollment applications and corresponds with applicants.
25-1194.00	Vocational Education Teachers Postsecondary	Prepares reports and maintains records, such as student grades, attendance, training activities, production records, and supply or equipment inventories.
25-1194.00	Vocational Education Teachers Postsecondary	Develops teaching aids, such as instructional software, multimedia visual aids, computer tutorials, or study materials for instruction in vocational or occupational subjects.
25-1194.00	Vocational Education Teachers Postsecondary	Corrects, grades, and comments on lesson assignments.
25-1194.00	Vocational Education Teachers Postsecondary	Determines training needs of students or workers.
25-1194.00	Vocational Education Teachers Postsecondary	Administers oral, written, or performance tests to measure progress and to evaluate effectiveness of training.
25-1194.00	Vocational Education Teachers Postsecondary	Solves operational problems and provides technical assistance with equipment and process techniques.
25-1194.00	Vocational Education Teachers Postsecondary	Prepares outline of instructional program and training schedule and establishes course goals.
25-1194.00	Vocational Education Teachers Postsecondary	Observes and evaluates students' work to determine progress, provide feedback, and make suggestions for improvement.
25-1194.00	Vocational Education Teachers Postsecondary	Presents lectures and conducts discussions to increase students' knowledge and competence, using visual aids, such as graphs, charts, videotapes, and slides.
25-2011.00	Preschool Teachers, Except Special Education	Instructs children in activities designed to promote social, physical, and intellectual growth in facility, such as preschool or day care center.
25-2011.00	Preschool Teachers, Except Special Education	Plans individual and group activities for children, such as learning to listen to instructions, playing with others, and using play equipment.
25-2011.00	Preschool Teachers, Except Special Education	Demonstrates activity.
25-2011.00	Preschool Teachers, Except Special Education	Structures play activities to instill concepts of respect and concern for others.
25-2011.00	Preschool Teachers, Except Special Education	Monitors individual and/or group activities to prevent accidents and promote social skills.
25-2011.00	Preschool Teachers, Except Special Education	Reads books to entire class or to small groups.
25-2011.00	Preschool Teachers, Except Special Education	Confers with parents to explain preschool program and to discuss ways they can develop their child's interest.
25-2011.00	Preschool Teachers, Except Special Education	Plans instructional activities for teacher aide.
25-2011.00	Preschool Teachers, Except Special Education	Administers tests to determine each child's level of development according to design of test.
25-2011.00	Preschool Teachers, Except Special Education	Attends staff meetings.
25-2012.00	Kindergarten Teachers, Except Special Education	Teaches elemental science, personal hygiene, and humanities to children to promote physical, mental, and social development.
25-2012.00	Kindergarten Teachers, Except Special Education	Supervises student activities, such as field visits, to stimulate student interest and broaden understanding of physical and social environment.
25-2012.00	Kindergarten Teachers, Except Special Education	Organizes and conducts games and group projects to develop cooperative behavior and assist children in forming satisfying relationships.
25-2012.00	Kindergarten Teachers, Except Special Education	Encourages students in activities, such as singing, dancing, and rhythmic activities, to promote self- expression and appreciation of esthetic experience.
25-2012.00	Kindergarten Teachers, Except Special Education	Instructs children in practices of personal cleanliness and self care.
25-2012.00	Kindergarten Teachers, Except Special Education	Observes children to detect signs of ill health or emotional disturbance, and to evaluate progress.
25-2012.00	Kindergarten Teachers, Except Special Education	Discusses student problems and progress with parents.
25-2012.00	Kindergarten Teachers, Except Special Education	Alternates periods of strenuous activity with periods of rest or light activity to avoid over stimulation and fatigue.
25-2021.00	Elementary School Teachers, Except Special Education	Lectures, demonstrates, and uses audiovisual aids and computers to present academic, social, and motor skill subject matter to class.
25-2021.00	Elementary School Teachers, Except Special Education	Teaches subjects, such as math, science, or social studies.
25-2021.00	Elementary School Teachers, Except Special Education	Prepares course objectives and outline for course of study, following curriculum guidelines or requirements of state and school.
25-2021.00	Elementary School Teachers, Except Special Education	Prepares, administers, and corrects tests, and records results.
25-2021.00	Elementary School Teachers, Except Special Education	Assigns lessons, corrects papers, and hears oral presentations.
25-2021.00	Elementary School Teachers, Except Special Education	Teaches rules of conduct and maintains discipline and suitable learning environment in classroom and on playground.
25-2021.00	Elementary School Teachers, Except Special Education	Evaluates student performance and discusses pupil academic and behavioral attitudes and achievements with parents.
25-2021.00	Elementary School Teachers, Except Special Education	Keeps attendance and grade records and prepares reports as required by school.
25-2021.00	Elementary School Teachers, Except Special Education	Counsels pupils when adjustment and academic problems arise.
25-2021.00	Elementary School Teachers, Except Special Education	Supervises outdoor and indoor play activities.
25-2021.00	Elementary School Teachers, Except Special Education	Teaches combined grade classes.
25-2021.00	Elementary School Teachers, Except Special Education	Attends staff meetings, serves on committees, and attends workshops or in-service training activities.
25-2021.00	Elementary School Teachers, Except Special Education	Coordinates class field trips.
25-2021.00	Elementary School Teachers, Except Special Education	Prepares bulletin boards.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Instructs students, using various teaching methods, such as lecture and demonstration.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Prepares course outlines and objectives according to curriculum guidelines or state and local requirements.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Evaluates, records, and reports student progress.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Maintains discipline in classroom.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Selects, stores, orders, issues, and inventories classroom equipment, materials, and supplies.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Performs advisory duties, such as sponsoring student organizations or clubs, helping students select courses, and counseling students with problems.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Keeps attendance records.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Participates in faculty and professional meetings, educational conferences, and teacher training workshops.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Confers with students, parents, and school counselors to resolve behavioral and academic problems.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Uses audiovisual aids and other materials to supplement presentations.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Assigns lessons and corrects homework.
25-2022.00	Middle School Teachers, Except Special and Vocational Education	Develops and administers tests.
25-2023.00	Vocational Education Teachers, Middle School 	Instructs students, using various teaching methods, such as lecture and demonstration.
25-2023.00	Vocational Education Teachers, Middle School 	Evaluates, records, and reports student progress.
25-2023.00	Vocational Education Teachers, Middle School 	Maintains discipline in classroom.
25-2023.00	Vocational Education Teachers, Middle School 	Performs advisory duties, such as sponsoring student organizations or clubs, helping students select courses, and counseling students with problems.
25-2023.00	Vocational Education Teachers, Middle School 	Keeps attendance records.
25-2023.00	Vocational Education Teachers, Middle School 	Selects, stores, orders, issues, and inventories classroom equipment, materials, and supplies.
25-2023.00	Vocational Education Teachers, Middle School 	Participates in faculty and professional meetings, educational conferences, and teacher training workshops.
25-2023.00	Vocational Education Teachers, Middle School 	Confers with students, parents, and school counselors to resolve behavioral and academic problems.
25-2023.00	Vocational Education Teachers, Middle School 	Uses audiovisual aids and other materials to supplement presentations.
25-2023.00	Vocational Education Teachers, Middle School 	Assigns lessons and corrects homework.
25-2023.00	Vocational Education Teachers, Middle School 	Develops and administers tests.
25-2023.00	Vocational Education Teachers, Middle School 	Prepares course outlines and objectives according to curriculum guidelines or state and local requirements.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Instructs students, using various teaching methods, such as lecture and demonstration.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Maintains discipline in classroom.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Selects, stores, orders, issues, and inventories classroom equipment, materials, and supplies.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Performs advisory duties, such as sponsoring student organizations or clubs, helping students select courses, and counseling students with problems.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Keeps attendance records.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Participates in faculty and professional meetings, educational conferences, and teacher training workshops.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Confers with students, parents, and school counselors to resolve behavioral and academic problems.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Develops and administers tests.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Prepares course outlines and objectives according to curriculum guidelines or state and local requirements.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Evaluates, records, and reports student progress.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Uses audiovisual aids and other materials to supplement presentations.
25-2031.00	Secondary School Teachers, Except Special and Vocational Education	Assigns lessons and corrects homework.
25-2032.00	Vocational Education Teachers, Secondary School	Instructs students, using various teaching methods, such as lecture and demonstration.
25-2032.00	Vocational Education Teachers, Secondary School	Assigns lessons and corrects homework.
25-2032.00	Vocational Education Teachers, Secondary School	Develops and administers tests.
25-2032.00	Vocational Education Teachers, Secondary School	Prepares course outlines and objectives according to curriculum guidelines or state and local requirements.
25-2032.00	Vocational Education Teachers, Secondary School	Uses audiovisual aids and other materials to supplement presentations.
25-2032.00	Vocational Education Teachers, Secondary School	Evaluates, records, and reports student progress.
25-2032.00	Vocational Education Teachers, Secondary School	Confers with students, parents, and school counselors to resolve behavioral and academic problems.
25-2032.00	Vocational Education Teachers, Secondary School	Maintains discipline in classroom.
25-2032.00	Vocational Education Teachers, Secondary School	Participates in faculty and professional meetings, educational conferences, and teacher training workshops.
25-2032.00	Vocational Education Teachers, Secondary School	Selects, stores, orders, issues, and inventories classroom equipment, materials, and supplies.
25-2032.00	Vocational Education Teachers, Secondary School	Keeps attendance records.
25-2032.00	Vocational Education Teachers, Secondary School	Performs advisory duties, such as sponsoring student organizations or clubs, helping students select courses, and counseling students with problems.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Teaches socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Instructs students in academic subjects, utilizing various teaching techniques, such as phonetics, multisensory learning, and repetition, to reinforce learning.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Instructs students, using special educational strategies and techniques to improve sensory-motor and perceptual-motor development, memory, language, and cognition.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Plans curriculum and other instructional materials to meet student's needs, considering such factors as physical, emotional, and educational abilities.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Administers and interprets results of ability and achievement tests.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Confers with other staff members to plan programs designed to promote educational, physical, and social development of students.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Provides consistent reinforcement to learning, and continuous feedback to student.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Meets with parents to provide support, guidance in using community resources, and skills in dealing with student's learning impairment.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Observes, evaluates, and prepares reports on progress of students.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Works with students to increase motivation.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Confers with parents, administrators, testing specialists, social workers and others to develop individual educational plan for student.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Selects and teaches reading material and math problems related to everyday life of individual student.
25-2041.00	Special Education Teachers, Preschool, Kindergarten, and Elementary School	Instructs students in daily living skills required for independent maintenance and economic self- sufficiency, such as hygiene, safety, and food preparation.
25-2042.00	Special Education Teachers, Middle School	Teaches socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement.
25-2042.00	Special Education Teachers, Middle School	Instructs students, using special educational strategies and techniques to improve sensory-motor and perceptual-motor development, memory, language, and cognition.
25-2042.00	Special Education Teachers, Middle School	Instructs students in academic subjects, utilizing various teaching techniques, such as phonetics, multisensory learning, and repetition, to reinforce learning.
25-2042.00	Special Education Teachers, Middle School	Instructs students in daily living skills required for independent maintenance and economic self- sufficiency, such as hygiene, safety, and food preparation.
25-2042.00	Special Education Teachers, Middle School	Plans curriculum and other instructional materials to meet student's needs, considering such factors as physical, emotional, and educational abilities.
25-2042.00	Special Education Teachers, Middle School	Administers and interprets results of ability and achievement tests.
25-2042.00	Special Education Teachers, Middle School	Confers with other staff members to plan programs designed to promote educational, physical, and social development of students.
25-2042.00	Special Education Teachers, Middle School	Provides consistent reinforcement to learning, and continuous feedback to student.
25-2042.00	Special Education Teachers, Middle School	Meets with parents to provide support, guidance in using community resources, and skills in dealing with student's learning impairment.
25-2042.00	Special Education Teachers, Middle School	Observes, evaluates, and prepares reports on progress of students.
25-2042.00	Special Education Teachers, Middle School	Works with students to increase motivation.
25-2042.00	Special Education Teachers, Middle School	Confers with parents, administrators, testing specialists, social workers and others to develop individual educational plan for student.
25-2042.00	Special Education Teachers, Middle School	Selects and teaches reading material and math problems related to everyday life of individual student.
25-2043.00	Special Education Teachers, Secondary School	Teaches socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement.
25-2043.00	Special Education Teachers, Secondary School	Confers with parents, administrators, testing specialists, social workers and others to develop individual educational plan for student.
25-2043.00	Special Education Teachers, Secondary School	Works with students to increase motivation.
25-2043.00	Special Education Teachers, Secondary School	Meets with parents to provide support, guidance in using community resources, and skills in dealing with student's learning impairment.
25-2043.00	Special Education Teachers, Secondary School	Observes, evaluates, and prepares reports on progress of students.
25-2043.00	Special Education Teachers, Secondary School	Provides consistent reinforcement to learning, and continuous feedback to student.
25-2043.00	Special Education Teachers, Secondary School	Confers with other staff members to plan programs designed to promote educational, physical, and social development of students.
25-2043.00	Special Education Teachers, Secondary School	Administers and interprets results of ability and achievement tests.
25-2043.00	Special Education Teachers, Secondary School	Instructs students in academic subjects, utilizing various teaching techniques, such as phonetics, multisensory learning, and repetition, to reinforce learning.
25-2043.00	Special Education Teachers, Secondary School	Instructs students in daily living skills required for independent maintenance and economic self- sufficiency, such as hygiene, safety, and food preparation.
25-2043.00	Special Education Teachers, Secondary School	Selects and teaches reading material and math problems related to everyday life of individual student.
25-2043.00	Special Education Teachers, Secondary School	Plans curriculum and other instructional materials to meet student's needs, considering such factors as physical, emotional, and educational abilities.
25-2043.00	Special Education Teachers, Secondary School	Instructs students, using special educational strategies and techniques to improve sensory-motor and perceptual-motor development, memory, language, and cognition.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Presents lectures and conducts discussions to increase students' knowledge and competence.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Observes andevaluates students' work to determine progress and makessuggestions for improvement.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Adapts course of studyand training methods to meet students' needs and abilities.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Conducts classes, workshops, and demonstrations to teach principles, techniques, procedures, or methods of designated subject.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Prepares outline of instructional program, lesson plans, and establishes course goals.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Observes students to determine and evaluate qualifications, limitations, abilities, interests, aptitudes, temperament, and individual characteristics.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Evaluates success of instruction, based on number and enthusiasm of participants and recommends retaining or eliminating course in future.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Confers with leaders of government and other groups to coordinate training or to assist students to fulfill required criteria.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Writes instructional articles on designated subjects.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Orders, stores, and inventories books, materials, and supplies.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Maintains records, such as student grades, attendance, and supply inventory.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Plans and conducts field trips to enrich instructional programs.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Directs and supervises student project activities, performances, tournaments, exhibits, contests, or plays.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Selects and assembles books, materials, and supplies for courses or projects.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Administers oral, written, and performance tests and issues grades in accordance with performance.
25-3011.00	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Plans course content and method of instruction.
25-3021.00	Self-Enrichment Education Teachers	Conducts classes, workshops, and demonstrations to teach principles, techniques, procedures, or methods of designated subject.
25-3021.00	Self-Enrichment Education Teachers	Plans and conducts field trips to enrich instructional programs.
25-3021.00	Self-Enrichment Education Teachers	Orders, stores, and inventories books, materials, and supplies.
25-3021.00	Self-Enrichment Education Teachers	Writes instructional articles on designated subjects.
25-3021.00	Self-Enrichment Education Teachers	Maintains records, such as student grades, attendance, and supply inventory.
25-3021.00	Self-Enrichment Education Teachers	Confers with leaders of government and other groups to coordinate training or to assist students to fulfill required criteria.
25-3021.00	Self-Enrichment Education Teachers	Evaluates success of instruction, based on number and enthusiasm of participants and recommends retaining or eliminating course in future.
25-3021.00	Self-Enrichment Education Teachers	Plans course content and method of instruction.
25-3021.00	Self-Enrichment Education Teachers	Selects and assembles books, materials, and supplies for courses or projects.
25-3021.00	Self-Enrichment Education Teachers	Observes students to determine and evaluate qualifications, limitations, abilities, interests, aptitudes, temperament, and individual characteristics.
25-3021.00	Self-Enrichment Education Teachers	Directs and supervises student project activities, performances, tournaments, exhibits, contests, or plays.
25-3021.00	Self-Enrichment Education Teachers	Prepares outline of instructional program, lesson plans, and establishes course goals.
25-3021.00	Self-Enrichment Education Teachers	Administers oral, written, and performance tests and issues grades in accordance with performance.
25-3021.00	Self-Enrichment Education Teachers	Presents lectures andconducts discussions to increase students' knowledge and competence.
25-4011.00	Archivists	Directs activities of workers engaged in cataloging and safekeeping of valuable materials and disposition of worthless materials.
25-4011.00	Archivists	Directs acquisition and physical arrangement of new materials.
25-4011.00	Archivists	Establishes policy guidelines concerning public access and use of materials.
25-4011.00	Archivists	Requests or recommends pertinent materials available in libraries, private collections, or other archives.
25-4011.00	Archivists	Advises government agencies, scholars, journalists, and others conducting research by supplying available materials and information.
25-4011.00	Archivists	Selects and edits documents for publication and display, according to knowledge of subject, literary expression, and techniques for presentation and display.
25-4011.00	Archivists	Analyzes documents by ascertaining date of writing, author, or original recipient of letter to appraise value to posterity.
25-4011.00	Archivists	Prepares document descriptions and reference aids for use of archives, such as accession lists, bibliographies, abstracts, and microfilmed documents.
25-4011.00	Archivists	Directs filing and cross indexing of selected documents in alphabetical and chronological order.
25-4012.00	Curators	Plans and organizes acquisition, storage, and exhibition of collections and related educational materials.
25-4012.00	Curators	Develops and maintains institution's registration, cataloging, and basic record keeping systems.
25-4012.00	Curators	Studies, examines, and tests acquisitions to authenticate their origin, composition, history, and current value.
25-4012.00	Curators	Negotiates and authorizes purchase, sale, exchange, or loan of collections.
25-4012.00	Curators	Directs and coordinates activities of curatorial, personnel, fiscal, technical, research, and clerical staff.
25-4012.00	Curators	Confers with institution's board of directors to formulate and interpret policies, determine budget requirements, and plan overall operations.
25-4012.00	Curators	Arranges insurance coverage for objects on loan or special exhibits, and recommends changes in coverage for entire collection.
25-4012.00	Curators	Plans and conducts special research projects.
25-4012.00	Curators	Writes and reviews grant proposals, journal articles, institutional reports, and publicity materials.
25-4012.00	Curators	Attends meetings, conventions, and civic events to promote use of institution's services, seek financing, and maintain community alliances.
