Commodity Code,O*NET-SOC Code,O*NET-SOC Title,T2 Type,T2 Example,Commodity Title
43232306,"19-4051.01","Nuclear Equipment Operation Technicians","Technology","Data logging software","Data base user interface and query software"
43232110,"19-4051.01","Nuclear Equipment Operation Technicians","Technology","Spreadsheet software","Spreadsheet software"
46182002,"19-4051.02","Nuclear Monitoring Technicians","Tools","Air purifying respirators","Respirators"
41111929,"19-4051.02","Nuclear Monitoring Technicians","Tools","Alpha air monitors","Radiation detectors"
41111929,"19-4051.02","Nuclear Monitoring Technicians","Tools","Alpha/beta surface contamination monitors","Radiation detectors"
41113405,"19-4051.02","Nuclear Monitoring Technicians","Tools","Area gamma monitors","Gamma counters"
46182002,"19-4051.02","Nuclear Monitoring Technicians","Tools","Atmosphere supplying respirators","Respirators"
41103003,"19-4051.02","Nuclear Monitoring Technicians","Tools","Cryostats","Cryostats"
41111929,"19-4051.02","Nuclear Monitoring Technicians","Tools","Digital ratemeters","Radiation detectors"
41115303,"19-4051.02","Nuclear Monitoring Technicians","Tools","Digital spectrum analyzers","Frequency analyzers"
41111711,"19-4051.02","Nuclear Monitoring Technicians","Tools","Electron microscopes","Electron microscopes"
60105002,"19-4051.02","Nuclear Monitoring Technicians","Tools","Geiger-Muller counters","Geiger counters"
41113625,"19-4051.02","Nuclear Monitoring Technicians","Tools","Ionization chambers","Ionization chambers"
41115407,"19-4051.02","Nuclear Monitoring Technicians","Tools","Neutron spectrometers","Atomic absorption AA spectrometers"
26141906,"19-4051.02","Nuclear Monitoring Technicians","Tools","Nuclear moisture/density gauges","Industrial nucleonic moisture measuring systems"
43211715,"19-4051.02","Nuclear Monitoring Technicians","Tools","Portable data collectors","Portable data input terminals"
41115403,"19-4051.02","Nuclear Monitoring Technicians","Tools","Portable spectroscopes","Spectrometers"
41111929,"19-4051.02","Nuclear Monitoring Technicians","Tools","Portable survey radiation meters","Radiation detectors"
41113005,"19-4051.02","Nuclear Monitoring Technicians","Tools","Proportional counters","Ion analyzers"
46181504,"19-4051.02","Nuclear Monitoring Technicians","Tools","Protective gloves","Protective gloves"
46181606,"19-4051.02","Nuclear Monitoring Technicians","Tools","Protective shoe covers","Footwear covers"
41111929,"19-4051.02","Nuclear Monitoring Technicians","Tools","Radiological detectors","Radiation detectors"
41111929,"19-4051.02","Nuclear Monitoring Technicians","Tools","Thermoluminescent dosimeters","Radiation detectors"
43232104,"19-4051.02","Nuclear Monitoring Technicians","Technology","Microsoft Word","Word processing software"
43232605,"19-4051.02","Nuclear Monitoring Technicians","Technology","Radiological assessment display and control system RADACS","Analytical or scientific software"
43232605,"19-4051.02","Nuclear Monitoring Technicians","Technology","RESRAD","Analytical or scientific software"
44101801,"19-4061.01","City and Regional Planning Aides","Tools","10-key calculators","Calculators or accessories"
43211507,"19-4061.01","City and Regional Planning Aides","Tools","Desktop computers","Desktop computers"
45121504,"19-4061.01","City and Regional Planning Aides","Tools","Digital cameras","Digital cameras"
43211711,"19-4061.01","City and Regional Planning Aides","Tools","Digitizers","Scanners"
43211503,"19-4061.01","City and Regional Planning Aides","Tools","Laptop computers","Notebook computers"
45112001,"19-4061.01","City and Regional Planning Aides","Tools","Microfiche readers","Microfiche or microfilm viewers"
44101501,"19-4061.01","City and Regional Planning Aides","Tools","Photocopiers","Photocopiers"
45111604,"19-4061.01","City and Regional Planning Aides","Tools","Slide projectors","Slide projectors"
43191510,"19-4061.01","City and Regional Planning Aides","Tools","Two way radios","Two way radios"
43232102,"19-4061.01","City and Regional Planning Aides","Technology","Corel CorelDraw Graphics Suite","Graphics or photo imaging software"
43232306,"19-4061.01","City and Regional Planning Aides","Technology","dBase","Data base user interface and query software"
43233501,"19-4061.01","City and Regional Planning Aides","Technology","Email software","Electronic mail software"
43233506,"19-4061.01","City and Regional Planning Aides","Technology","ESRI ArcInfo","Map creation software"
43233506,"19-4061.01","City and Regional Planning Aides","Technology","Geographic information system GIS software","Map creation software"
43232408,"19-4061.01","City and Regional Planning Aides","Technology","Hypertext markup language HTML","Web platform development software"
43232306,"19-4061.01","City and Regional Planning Aides","Technology","Microsoft Access","Data base user interface and query software"
43232110,"19-4061.01","City and Regional Planning Aides","Technology","Microsoft Excel","Spreadsheet software"
43231513,"19-4061.01","City and Regional Planning Aides","Technology","Microsoft Office","Office suite software"
43232104,"19-4061.01","City and Regional Planning Aides","Technology","Microsoft Word","Word processing software"
43232110,"19-4061.01","City and Regional Planning Aides","Technology","Spreadsheet software","Spreadsheet software"
41104008,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Air sampling impingers","Air samplers or collectors"
41104009,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Area sampling pumps","Air sampling pumps"
42281508,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Autoclaves","Steam autoclaves or sterilizers"
41104008,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Bioaerosol impactors","Air samplers or collectors"
41113117,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Carbon monoxide monitors","Single gas monitors"
40151520,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Centrifugal water sampling pumps","Sampling pumps"
41113319,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Chloride test kits","Water analyzers"
41113116,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Detector tubes","Gas detector tubes"
41104016,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Digital hand meters","Air pollutant samplers"
41112501,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Electronic pump calibrators","Flowmeters"
43211504,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Field data collection computers","Personal digital assistant PDAs or organizers"
41113004,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Flame ionization detectors","Flame ionization analyzers"
41113116,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Freon detectors","Gas detector tubes"
41113319,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Hach field kits","Water analyzers"
41112301,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Humidity sticks","Hygrometers"
41113905,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Infiltrometers","Permeability testing apparatus"
41114302,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Interface probes","Logging instruments for water wells"
41113118,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Landfill gas detection systems","Multi gas monitors"
41104007,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Lead water sampling kits","Water samplers"
40151520,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Micropurge sampling equipment","Sampling pumps"
41122601,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Microscope slides","Microscope slides"
41111709,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Microscopes","Binocular light compound microscopes"
41113026,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Nephelometers","Nephelometers"
41115503,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Noise dosimeters","Sound measuring apparatus or decibel meter"
41115503,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Noise logging analyzers","Sound measuring apparatus or decibel meter"
41104016,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Particulate monitors","Air pollutant samplers"
43211508,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Personal computers","Personal computers"
41115603,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","pH meters","pH meters"
41111719,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Phase contrast microscopes","Darkfield microscopes"
41112501,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Pilot tubes","Flowmeters"
43212105,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Printers","Laser printers"
41113115,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Radon detection devices","Radon detectors"
41115613,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Salinity meters","Salinity meter"
41104009,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Sequential air samplers","Air sampling pumps"
45121516,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Sewer surveillance cameras","Digital camcorders or video cameras"
41113910,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Soil vapor extraction units","Soil testing kits"
41115406,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Spectrophotometers","Spectrophotometers"
41114624,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Vibration monitors","Vibration testers"
41113631,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Volt-ohmmeters","Ohmmeters"
41114303,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Water level meters","Open stream water level recorders"
40151520,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Water sample extraction pumps","Sampling pumps"
41104007,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Water sample extraction tubes","Water samplers"
41104007,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Tools","Water sampling pumps","Water samplers"
43232604,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Autodesk AutoCAD software","Computer aided design CAD software"
43232604,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Computer aided design CAD software","Computer aided design CAD software"
43232306,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Database software","Data base user interface and query software"
43233506,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","ESRI ArcInfo","Map creation software"
43233506,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","ESRI ArcView","Map creation software"
43232605,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Flood modeling software","Analytical or scientific software"
43232605,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","HEC-HMS","Analytical or scientific software"
43232110,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Microsoft Excel","Spreadsheet software"
43233501,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Microsoft Outlook","Electronic mail software"
43232104,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Microsoft Word","Word processing software"
43232605,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Scientific analysis software","Analytical or scientific software"
43232110,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Spreadsheet software","Spreadsheet software"
43232605,"19-4091.00","Environmental Science and Protection Technicians, Including Health","Technology","Visual OTTHYMO","Analytical or scientific software"
45121501,"19-4092.00","Forensic Science Technicians","Tools","35 millimeter cameras","Still cameras"
42261904,"19-4092.00","Forensic Science Technicians","Tools","Body fluid collection kits","Biological evidence collection kits"
46151604,"19-4092.00","Forensic Science Technicians","Tools","Breathalyzers","Alcohol analysers"
45121603,"19-4092.00","Forensic Science Technicians","Tools","Colored camera filters","Camera lenses or filters"
55121715,"19-4092.00","Forensic Science Technicians","Tools","Crime scene evidence flags","Flags or accessories"
27111801,"19-4092.00","Forensic Science Technicians","Tools","Crime scene tape measures","Tape measures"
43211507,"19-4092.00","Forensic Science Technicians","Tools","Desktop computers","Desktop computers"
45121504,"19-4092.00","Forensic Science Technicians","Tools","Digital cameras","Digital cameras"
41111616,"19-4092.00","Forensic Science Technicians","Tools","Distance measuring wheels","Measuring wheels for distance"
41111502,"19-4092.00","Forensic Science Technicians","Tools","Electronic precision balances","Laboratory balances"
46151711,"19-4092.00","Forensic Science Technicians","Tools","Electrostatic dust print lifters","Footprint lifters"
46151706,"19-4092.00","Forensic Science Technicians","Tools","Fingerprint evidence kits","Fingerprint latent print kits"
41102406,"19-4092.00","Forensic Science Technicians","Tools","Fuming hot plates","Laboratory hotplates"
41104118,"19-4092.00","Forensic Science Technicians","Tools","Glass specimen jars","Specimen collectors"
41103202,"19-4092.00","Forensic Science Technicians","Tools","Glassware washers","Laboratory washing machines"
41113322,"19-4092.00","Forensic Science Technicians","Tools","Gunshot residue kits","Nitrogen or nitrate or nitrite analyzer"
46151711,"19-4092.00","Forensic Science Technicians","Tools","Impression casting kits","Footprint lifters"
41102501,"19-4092.00","Forensic Science Technicians","Tools","Insect collection containers","Laboratory insect containers"
41111713,"19-4092.00","Forensic Science Technicians","Tools","Inspection mirrors","Magnifiers"
45121501,"19-4092.00","Forensic Science Technicians","Tools","Large format cameras","Still cameras"
42142001,"19-4092.00","Forensic Science Technicians","Tools","Medical hemostats","Floor grade forceps or hemostats"
41111903,"19-4092.00","Forensic Science Technicians","Tools","Metal detectors","Metal detectors"
43211503,"19-4092.00","Forensic Science Technicians","Tools","Mobile data computers","Notebook computers"
41112901,"19-4092.00","Forensic Science Technicians","Tools","Navigational compasses","Direction finding compasses"
41122409,"19-4092.00","Forensic Science Technicians","Tools","Plastic evidence tweezers","Laboratory tools"
41104118,"19-4092.00","Forensic Science Technicians","Tools","Plastic specimen jars","Specimen collectors"
41122407,"19-4092.00","Forensic Science Technicians","Tools","Pointed scalpels","Laboratory scalpels"
26111604,"19-4092.00","Forensic Science Technicians","Tools","Portable generators","Gas generators"
43191510,"19-4092.00","Forensic Science Technicians","Tools","Portable two way radios","Two way radios"
42132205,"19-4092.00","Forensic Science Technicians","Tools","Protective latex gloves","Surgical gloves"
44111806,"19-4092.00","Forensic Science Technicians","Tools","Protractors","Protractors"
46181802,"19-4092.00","Forensic Science Technicians","Tools","Safety glasses","Safety glasses"
42181506,"19-4092.00","Forensic Science Technicians","Tools","Sexual assault evidence collection kits","Sexual assault determination kits"
27112004,"19-4092.00","Forensic Science Technicians","Tools","Shovels","Shovels"
41115406,"19-4092.00","Forensic Science Technicians","Tools","Spectrophotometers","Spectrophotometers"
41122408,"19-4092.00","Forensic Science Technicians","Tools","Stainless steel scissors","Laboratory scissors"
27111801,"19-4092.00","Forensic Science Technicians","Tools","Steel measuring tape","Tape measures"
41102421,"19-4092.00","Forensic Science Technicians","Tools","Thermocyclers","Temperature cycling chambers or thermal cyclers"
45121603,"19-4092.00","Forensic Science Technicians","Tools","Ultraviolet UV camera lens filters","Camera lenses or filters"
46181804,"19-4092.00","Forensic Science Technicians","Tools","UV forensic goggles","Goggles"
43232306,"19-4092.00","Forensic Science Technicians","Technology","Automated Biometric Identification System ABIS","Data base user interface and query software"
43232102,"19-4092.00","Forensic Science Technicians","Technology","DesignWare 3D EyeWitness","Graphics or photo imaging software"
43232605,"19-4092.00","Forensic Science Technicians","Technology","DNA sequence analysis software","Analytical or scientific software"
43232102,"19-4092.00","Forensic Science Technicians","Technology","Graphics software","Graphics or photo imaging software"
43233501,"19-4092.00","Forensic Science Technicians","Technology","IBM Lotus Notes","Electronic mail software"
43232306,"19-4092.00","Forensic Science Technicians","Technology","Integrated Automated Fingerprint Identification System IAFIS","Data base user interface and query software"
43232110,"19-4092.00","Forensic Science Technicians","Technology","Microsoft Excel","Spreadsheet software"
43233501,"19-4092.00","Forensic Science Technicians","Technology","Microsoft Outlook","Electronic mail software"
43232104,"19-4092.00","Forensic Science Technicians","Technology","Microsoft Word","Word processing software"
43232102,"19-4092.00","Forensic Science Technicians","Technology","Mideo Systems EZDoc Plus","Graphics or photo imaging software"
43232306,"19-4092.00","Forensic Science Technicians","Technology","National Crime Information Center NCIC database","Data base user interface and query software"
43232102,"19-4092.00","Forensic Science Technicians","Technology","SmartDraw.com SmartDraw Legal","Graphics or photo imaging software"
43232102,"19-4092.00","Forensic Science Technicians","Technology","Trancite Logic Systems ScenePD","Graphics or photo imaging software"
43232705,"19-4092.00","Forensic Science Technicians","Technology","Web browser software","Internet browser software"
25101611,"19-4093.00","Forest and Conservation Technicians","Tools","Aerial bucket trucks","Cargo trucks"
25111802,"19-4093.00","Forest and Conservation Technicians","Tools","Airboats","Recreational motorboats"
41111614,"19-4093.00","Forest and Conservation Technicians","Tools","Altimeters","Height gauges"
22101514,"19-4093.00","Forest and Conservation Technicians","Tools","Aquatic weed harvesters","Dredgers"
25111802,"19-4093.00","Forest and Conservation Technicians","Tools","Boats","Recreational motorboats"
22101523,"19-4093.00","Forest and Conservation Technicians","Tools","Bulldozers","Wheel bulldozers"
41111621,"19-4093.00","Forest and Conservation Technicians","Tools","Calipers","Calipers"
21102202,"19-4093.00","Forest and Conservation Technicians","Tools","Clearing hooks","Lumbering equipment"
24101625,"19-4093.00","Forest and Conservation Technicians","Tools","Cranes","Conventional truck cranes"
41113802,"19-4093.00","Forest and Conservation Technicians","Tools","Crown densitometers","Geological prospecting apparatus"
43211507,"19-4093.00","Forest and Conservation Technicians","Tools","Desktop computers","Desktop computers"
41114201,"19-4093.00","Forest and Conservation Technicians","Tools","Diameter tapes","Measuring tapes"
25101601,"19-4093.00","Forest and Conservation Technicians","Tools","Dump trucks","Dump trucks"
25111502,"19-4093.00","Forest and Conservation Technicians","Tools","Electroshocking boats","Fishing boats"
43211504,"19-4093.00","Forest and Conservation Technicians","Tools","Field data recorders","Personal digital assistant PDAs or organizers"
24101603,"19-4093.00","Forest and Conservation Technicians","Tools","Forklifts","Forklifts"
21111504,"19-4093.00","Forest and Conservation Technicians","Tools","Gill nets","Commercial fishing nets"
21102201,"19-4093.00","Forest and Conservation Technicians","Tools","Girdling tools","Decorticators"
21101502,"19-4093.00","Forest and Conservation Technicians","Tools","Harrows","Harrows"
22101514,"19-4093.00","Forest and Conservation Technicians","Tools","Hydraulic dredges","Dredgers"
41111603,"19-4093.00","Forest and Conservation Technicians","Tools","Hypsometers","Rangefinders"
21102206,"19-4093.00","Forest and Conservation Technicians","Tools","Increment bores","Forestry increment borers"
41115307,"19-4093.00","Forest and Conservation Technicians","Tools","Laser surveying equipment","Lasers"
41111615,"19-4093.00","Forest and Conservation Technicians","Tools","Laser tree measuring devices","Laser measuring systems"
43211711,"19-4093.00","Forest and Conservation Technicians","Tools","Leaf area meter scanning instruments","Scanners"
41114201,"19-4093.00","Forest and Conservation Technicians","Tools","Loggers' tapes","Measuring tapes"
21111602,"19-4093.00","Forest and Conservation Technicians","Tools","Macroalgae harvesters","Pisciculture supplies"
46191605,"19-4093.00","Forest and Conservation Technicians","Tools","McLeod tools","Fire suppression hand tools"
41111616,"19-4093.00","Forest and Conservation Technicians","Tools","Measuring wheels","Measuring wheels for distance"
41111903,"19-4093.00","Forest and Conservation Technicians","Tools","Metal detectors","Metal detectors"
43211503,"19-4093.00","Forest and Conservation Technicians","Tools","Notebook computers","Notebook computers"
41115603,"19-4093.00","Forest and Conservation Technicians","Tools","pH meters","pH meters"
60103409,"19-4093.00","Forest and Conservation Technicians","Tools","Planimeters","Map measurers"
21102203,"19-4093.00","Forest and Conservation Technicians","Tools","Plug spades","Reforestation equipment"
41113801,"19-4093.00","Forest and Conservation Technicians","Tools","Pocket transits","Geological compasses"
31241502,"19-4093.00","Forest and Conservation Technicians","Tools","Prisms","Prisms"
20122902,"19-4093.00","Forest and Conservation Technicians","Tools","Remote sensing equipment","Surface data logging sensors"
21111504,"19-4093.00","Forest and Conservation Technicians","Tools","Seines","Commercial fishing nets"
27112004,"19-4093.00","Forest and Conservation Technicians","Tools","Shovels","Shovels"
22101702,"19-4093.00","Forest and Conservation Technicians","Tools","Slurry buckets","Earthmoving buckets or its parts or accessories"
41113909,"19-4093.00","Forest and Conservation Technicians","Tools","Soil augers","Soil core sampling apparatus"
21101801,"19-4093.00","Forest and Conservation Technicians","Tools","Sprayers","Sprayers"
41114202,"19-4093.00","Forest and Conservation Technicians","Tools","Stadia rods","Measuring rods"
41114204,"19-4093.00","Forest and Conservation Technicians","Tools","Survey transits","Theodolites"
41114509,"19-4093.00","Forest and Conservation Technicians","Tools","Tensiometers","Tensiometers"
41114204,"19-4093.00","Forest and Conservation Technicians","Tools","Theodolites","Theodolites"
22101522,"19-4093.00","Forest and Conservation Technicians","Tools","Track bulldozers","Track bulldozers"
25101801,"19-4093.00","Forest and Conservation Technicians","Tools","Trail motorbikes","Motorcycles"
21102206,"19-4093.00","Forest and Conservation Technicians","Tools","Tree corers","Forestry increment borers"
25101507,"19-4093.00","Forest and Conservation Technicians","Tools","Trucks","Light trucks or sport utility vehicles"
43191510,"19-4093.00","Forest and Conservation Technicians","Tools","Two way radios","Two way radios"
45111805,"19-4093.00","Forest and Conservation Technicians","Tools","Video editing equipment","Video editors"
41112504,"19-4093.00","Forest and Conservation Technicians","Tools","Water monitoring meters","Water meters"
41104007,"19-4093.00","Forest and Conservation Technicians","Tools","Water monitoring samplers","Water samplers"
25101610,"19-4093.00","Forest and Conservation Technicians","Tools","Water trucks","Water trucks"
27112504,"19-4093.00","Forest and Conservation Technicians","Tools","Wedges","Wedges"
41111621,"19-4093.00","Forest and Conservation Technicians","Tools","Wheeler pentaprism calipers","Calipers"
43233506,"19-4093.00","Forest and Conservation Technicians","Technology","Allegro Landmark","Map creation software"
43232306,"19-4093.00","Forest and Conservation Technicians","Technology","Atterbury Consultants SuperAce","Data base user interface and query software"
43232604,"19-4093.00","Forest and Conservation Technicians","Technology","Computer aided design CAD software","Computer aided design CAD software"
43232102,"19-4093.00","Forest and Conservation Technicians","Technology","Computer graphics software","Graphics or photo imaging software"
43232112,"19-4093.00","Forest and Conservation Technicians","Technology","Desktop publishing software","Desktop publishing software"
43233506,"19-4093.00","Forest and Conservation Technicians","Technology","ESRI ArcView","Map creation software"
43232605,"19-4093.00","Forest and Conservation Technicians","Technology","Fire behavior modeling software","Analytical or scientific software"
43232306,"19-4093.00","Forest and Conservation Technicians","Technology","Forest EcoSurvey","Data base user interface and query software"
43232605,"19-4093.00","Forest and Conservation Technicians","Technology","Forest Vegetation Simulator FVS","Analytical or scientific software"
43233506,"19-4093.00","Forest and Conservation Technicians","Technology","Geomechanical design analysis GDA software","Map creation software"
43232306,"19-4093.00","Forest and Conservation Technicians","Technology","JRP Consulting Survey Wizard","Data base user interface and query software"
43232605,"19-4093.00","Forest and Conservation Technicians","Technology","LoggerPC software","Analytical or scientific software"
43232306,"19-4093.00","Forest and Conservation Technicians","Technology","Microsoft Access","Data base user interface and query software"
43232110,"19-4093.00","Forest and Conservation Technicians","Technology","Microsoft Excel","Spreadsheet software"
43231513,"19-4093.00","Forest and Conservation Technicians","Technology","Microsoft Office","Office suite software"
43232104,"19-4093.00","Forest and Conservation Technicians","Technology","Microsoft Word","Word processing software"
43233506,"19-4093.00","Forest and Conservation Technicians","Technology","RockWare ArcMap","Map creation software"
43232110,"19-4093.00","Forest and Conservation Technicians","Technology","Spreadsheet software","Spreadsheet software"
43232705,"19-4093.00","Forest and Conservation Technicians","Technology","Web browser software","Internet browser software"
46151604,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Tools","Breathalyzers","Alcohol analysers"
43211507,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Tools","Desktop computers","Desktop computers"
43211508,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Tools","Personal computers","Personal computers"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","ACMS Casewatch Millenium","Medical software"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Allscripts Canopy","Medical software"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Athena Software Penelope Case Management","Medical software"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Cadence Solutions extendedReach","Medical software"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","CaseManagement.com E-Reports","Medical software"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Danic Tools software","Medical software"
43232306,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","EAG Economic Analysis Group CaseTrack","Data base user interface and query software"
43233501,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Email software","Electronic mail software"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Libera System7","Medical software"
43232110,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Microsoft Excel","Spreadsheet software"
43232104,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Microsoft Word","Word processing software"
43232110,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Spreadsheet software","Spreadsheet software"
43232610,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","STI Computer Services ChartMaker","Medical software"
43232705,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Web browser software","Internet browser software"
43232104,"21-1011.00","Substance Abuse and Behavioral Disorder Counselors","Technology","Word processing software","Word processing software"
43211507,"21-1014.00","Mental Health Counselors","Tools","Desktop computers","Desktop computers"
42182201,"21-1014.00","Mental Health Counselors","Tools","Digital thermometers","Electronic medical thermometers"
43211711,"21-1014.00","Mental Health Counselors","Tools","Flatbed scanners","Scanners"
43232610,"21-1014.00","Mental Health Counselors","Technology","Client information database systems","Medical software"
43232306,"21-1014.00","Mental Health Counselors","Technology","Microsoft Access","Data base user interface and query software"
43232110,"21-1014.00","Mental Health Counselors","Technology","Microsoft Excel","Spreadsheet software"
43232705,"21-1014.00","Mental Health Counselors","Technology","Microsoft Internet Explorer","Internet browser software"
43231513,"21-1014.00","Mental Health Counselors","Technology","Office suite software","Office suite software"
43232605,"21-1014.00","Mental Health Counselors","Technology","Statistical software","Analytical or scientific software"
43232705,"21-1014.00","Mental Health Counselors","Technology","Web browser software","Internet browser software"
43232104,"21-1014.00","Mental Health Counselors","Technology","Word processing software","Word processing software"
43211708,"21-1015.00","Rehabilitation Counselors","Tools","Alternative mouse options","Computer mouse or trackballs"
43211507,"21-1015.00","Rehabilitation Counselors","Tools","Desktop computers","Desktop computers"
52161518,"21-1015.00","Rehabilitation Counselors","Tools","Global positioning system GPS devices","Global positioning system receivers"
43211508,"21-1015.00","Rehabilitation Counselors","Tools","Personal computers","Personal computers"
43191501,"21-1015.00","Rehabilitation Counselors","Tools","Smartphones","Mobile phones"
43211509,"21-1015.00","Rehabilitation Counselors","Tools","Tablet computers","Tablet computers"
43231601,"21-1015.00","Rehabilitation Counselors","Technology","Budgeting software","Accounting software"
43232610,"21-1015.00","Rehabilitation Counselors","Technology","Chart Links software","Medical software"
43232610,"21-1015.00","Rehabilitation Counselors","Technology","Client System","Medical software"
43231513,"21-1015.00","Rehabilitation Counselors","Technology","Microsoft Office","Office suite software"
43233501,"21-1015.00","Rehabilitation Counselors","Technology","Microsoft Office Outlook Mobile","Electronic mail software"
43232705,"21-1015.00","Rehabilitation Counselors","Technology","Netscape Navigator","Internet browser software"
43232108,"21-1015.00","Rehabilitation Counselors","Technology","Scheduling software","Calendar and scheduling software"
43232110,"21-1015.00","Rehabilitation Counselors","Technology","Spreadsheet software","Spreadsheet software"
43232605,"21-1015.00","Rehabilitation Counselors","Technology","Test interpretation software","Analytical or scientific software"
43233413,"21-1015.00","Rehabilitation Counselors","Technology","Voice recognition software","Voice recognition software"
43232705,"21-1015.00","Rehabilitation Counselors","Technology","Web browser software","Internet browser software"
43232104,"21-1015.00","Rehabilitation Counselors","Technology","Word processing software","Word processing software"
43211507,"21-1022.00","Medical and Public Health Social Workers","Tools","Desktop computers","Desktop computers"
43232108,"21-1022.00","Medical and Public Health Social Workers","Technology","Calendar software","Calendar and scheduling software"
43232306,"21-1022.00","Medical and Public Health Social Workers","Technology","Command Systems ComServe","Data base user interface and query software"
43233501,"21-1022.00","Medical and Public Health Social Workers","Technology","Email software","Electronic mail software"
43232106,"21-1022.00","Medical and Public Health Social Workers","Technology","Information presentation software","Presentation software"
43232610,"21-1022.00","Medical and Public Health Social Workers","Technology","James Frazier Associates DataStart","Medical software"
43232610,"21-1022.00","Medical and Public Health Social Workers","Technology","Medical records software","Medical software"
