O*NET-SOC Code,Task,Category,Original Task ID,Original Task,Write-in Total,Date,Source
"25-1191.00","Tutor and mentor students who need additional instruction.","New",,,6,"12/2006","Incumbent"
"25-1194.00","Acquire, maintain, and repair laboratory equipment and tools.","New",,,7,"07/2005","Incumbent"
"25-2022.00","Assist students who need extra help, such as by tutoring and preparing and implementing remedial programs.","Revision",6590,"Prepare and implement remedial programs for students requiring extra help.",5,"07/2005","Incumbent"
"25-2022.00","Coordinate and supervise extracurricular activities, such as clubs, student organizations, and academic contests.","Revision",6605,"Sponsor extracurricular activities such as clubs, student organizations, and academic contests.",6,"07/2005","Incumbent"
"25-2022.00","Meet and correspond with parents regarding their children's progress, and to determine their priorities for their children and their resource needs.","Revision",6587,"Meet with parents and guardians to discuss their children's progress, and to determine their priorities for their children and their resource needs.",5,"07/2005","Incumbent"
"25-2023.00","Select, store, order, issue, inventory, and maintain classroom equipment, materials, and supplies.","Revision",6630,"Select, store, order, issue, and inventory classroom equipment, materials, and supplies.",5,"07/2005","Incumbent"
"25-4012.00","Design, organize, and conduct tours, workshops, and instructional/educational sessions to acquaint individuals with an institution's facilities and materials.","Revision",1650,"Conduct or organize tours, workshops, and instructional sessions to acquaint individuals with an institution's facilities and materials.",11,"07/2004","Incumbent"
"25-4012.00","Plan and organize the acquisition, storage, and exhibition of collections and related materials, including the selection of exhibition themes and designs, and develop or install exhibit materials (e.g., labels).","Revision",1643,"Plan and organize the acquisition, storage, and exhibition of collections and related materials, including the selection of exhibition themes and designs.",19,"07/2004","Incumbent"
"25-4013.00","Deliver artwork on courier trips.","New",,,5,"12/2004","Incumbent"
"25-4013.00","Direct and supervise curatorial (e.g., students, interns) and technical staff in the handling, mounting, care, and storage of art objects.","Revision",3816,"Direct and supervise curatorial and technical staff in the handling, mounting, care, and storage of art objects.",12,"12/2004","Incumbent"
"25-4013.00","Lead tours and teach educational courses to students and the general public.","Revision",3812,"Present public programs and tours.",7,"12/2004","Incumbent"
"25-4013.00","Photograph objects for documentation.","New",,,8,"12/2004","Incumbent"
"25-4021.00","Author or publish professional articles, internal documents, and instructional materials.","New",,,8,"07/2004","Incumbent"
"25-4021.00","Complete minor repairs and cleaning of library resources, equipment, and facilities, such as dusting and fixing printer paper jams.","New",,,7,"07/2004","Incumbent"
"25-4021.00","Confer with colleagues, faculty, and community members and organizations, to conduct informational programs, make collection decisions, and determine library services to offer.","Revision",1678,"Confer with teachers, parents, and community organizations to develop, plan, and conduct programs in reading, viewing, and communication skills.",16,"07/2004","Incumbent"
"25-4021.00","Develop and maintain databases that provide information for library users.","Revision",1681,"Develop and index databases that provide information for library users.",9,"07/2004","Incumbent"
"25-4021.00","Develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, web pages, electronic pathfinders, software programs, and on-line tutorials.","Revision",1673,"Develop information access aids such as indexes and annotated bibliographies, web pages, electronic pathfinders, and on-line tutorials.",20,"07/2004","Incumbent"
"25-4021.00","Engage in professional development activities, such as taking continuing education classes and attending or participating in conferences, workshops, professional meetings, and associations.","New",,,17,"07/2004","Incumbent"
"25-4021.00","Evaluate vendor products and performance, negotiate contracts, and place orders.","New",,,6,"07/2004","Incumbent"
"25-4021.00","Keep up to date records of circulation and materials, maintain inventory, and correct cataloging errors.","Revision",1661,"Keep records of circulation and materials.",15,"07/2004","Incumbent"
"25-4021.00","Plan and teach classes on topics such as information literacy, library instruction, and technology use.","New",,,36,"07/2004","Incumbent"
"25-4021.00","Represent library or institution on internal and external committees.","New",,,24,"07/2004","Incumbent"
"25-4021.00","Review and evaluate materials using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audiovisual, and electronic resources.","Revision",1665,"Review and evaluate resource material, such as book reviews and catalogs, in order to select and order print, audiovisual, and electronic resources.",16,"07/2004","Incumbent"
"25-4021.00","Supervise daily library operations, budgeting, planning, and personnel activities, such as hiring, training, scheduling, and performance evaluations.","Revision",1662,"Supervise budgeting, planning, and personnel activities.",30,"07/2004","Incumbent"
"25-4021.00","Teach library patrons basic computer skills, such as how to search for information using computerized databases.","Revision",1660,"Teach library patrons to search for information using databases.",10,"07/2004","Incumbent"
"25-4031.00","Answer routine reference inquiries, made in person or by telephone, and refer patrons needing further assistance to librarians.","Revision",1691,"Answer routine reference inquiries, and refer patrons needing further assistance to librarians.",9,"07/2004","Incumbent"
"25-4031.00","Catalogue and sort books and other print and nonprint materials according to procedure, and return them to shelves, files, or other designated storage areas.","Revision",1694,"Sort books, publications, and other items according to procedure and return them to shelves, files, or other designated storage areas.",7,"07/2004","Incumbent"
"25-4031.00","Check for damaged library materials (e.g. books, audiovisual equipment) and provide replacements or make repairs.","Revision",1715,"Repair damaged books.",6,"07/2004","Incumbent"
"25-4031.00","Claim missing issues of periodicals and journals.","New",,,6,"07/2004","Incumbent"
"25-4031.00","Compile data and create statistical reports on library usage.","New",,,8,"07/2004","Incumbent"
"25-4031.00","Help patrons find and use library resources, such as reference materials, audiovisual equipment, computers and other electronic resources, and provide technical assistance when needed.","Revision",1692,"Guide patrons in finding and using library resources, including reference materials, audiovisual equipment, computers, and electronic resources.",7,"07/2004","Incumbent"
"25-4031.00","Maintain and troubleshoot problems with library equipment, including computers, photocopiers, and audiovisual equipment.","New",,,6,"07/2004","Incumbent"
"25-4031.00","Order all print and nonprint material for library, prepare order slips, check prices, figure costs, and make invoice payments.","Revision",1708,"Prepare order slips for materials to be acquired, checking prices and figuring costs.",22,"07/2004","Incumbent"
"25-4031.00","Plan and conduct children's programs, community outreach programs, and other specialized programs (e.g., library tours).","Revision",1713,"Conduct children's programs and other specialized programs such as library tours.",6,"07/2004","Incumbent"
"25-9011.00","Install audiovisual equipment.","New",,,5,"12/2004","Incumbent"
"27-1011.00","Research current trends and new technology, such as printing production techniques, computer software, and design trends.","New",,,7,"03/2003","Incumbent"
"27-1012.00","Plan and attend craft shows to market products.","Revision",9249,"Attend craft shows to market products.",5,"06/2006","Occupational Expert"
"27-1013.00","Frame and mat artwork for display or sale.","New",,,8,"12/2006","Incumbent"
"27-1013.00","Market artwork through brochures, mailings, or websites.","New",,,11,"12/2006","Incumbent"
"27-1013.00","Photograph objects, places or scenes for reference material.","New",,,5,"12/2006","Incumbent"
"27-1013.00","Set up exhibitions of artwork for display or sale.","New",,,8,"12/2006","Incumbent"
"27-1013.00","Submit artwork to shows or galleries.","New",,,8,"12/2006","Incumbent"
"27-1013.00","Teach artistic techniques to children and adults.","New",,,10,"12/2006","Incumbent"
"27-1023.00","Deliver arrangements to customers, or oversee employees who are responsible for deliveries.","New",,,6,"07/2004","Incumbent"
"27-1025.00","Coordinate with other professionals, such as contractors, architects, engineers, and plumbers, to ensure job success.","New",,,9,"07/2004","Incumbent"
"27-1025.00","Review and detail shop drawings (i.e., millwork) for construction plans.","New",,,5,"07/2004","Incumbent"
"27-1025.00","Use computer aided drafting (CAD) and related software to produce construction documents.","New",,,5,"07/2004","Incumbent"
"27-1026.00","Assemble and set-up displays, furniture, and products in store space while utilizing colors, lights, pictures, and other accessories to display the product.","New",,,11,"06/2006","Incumbent"
"27-1026.00","Consult with store managers, buyers, sales associates, housekeeping and engineering to determine appropriate placement of displays (for example, furniture) or products.","New",,,8,"06/2006","Incumbent"
"27-1026.00","Maintain props, products, and mannequins, inspecting them for imperfections, doing touchups, cleaning up after customers, and applying preservative coatings as necessary.","Revision",9274,"Maintain props and mannequins, inspecting them for imperfections and applying preservative coatings as necessary.",7,"06/2006","Incumbent"
"27-1026.00","Store, pack, and maintain inventory records of props, products, and display items.","Revision",9278,"Store, pack, and maintain records of props and display items.",9,"06/2006","Incumbent"
"27-1026.00","Supervise and train staff members on daily tasks such as visual merchandising.","New",,,7,"06/2006","Incumbent"
"27-2012.01","Research production topics using the internet, video archives, and other informational sources.","New",,,9,"12/2004","Incumbent"
"27-2012.01","Write and edit news stories from information collected by reporters and other sources.","Revision",3854,"Edit and write news stories from information collected by reporters.",7,"12/2004","Incumbent"
"27-2012.02","Create graphics for television broadcasts.","New",,,5,"12/2004","Incumbent"
"27-2012.04","Direct shows, productions, and plays.","New",,,5,"12/2006","Incumbent"
"27-2012.04","Teach acting classes.","New",,,5,"12/2006","Incumbent"
"27-2022.00","Contact the parents of players to provide information and answer questions.","New",,,12,"07/2004","Incumbent"
"27-2022.00","Coordinate travel arrangements and travel with team to away contests.","New",,,9,"07/2004","Incumbent"
"27-2022.00","Counsel student athletes on academic, athletic, and personal issues.","New",,,10,"07/2004","Incumbent"
"27-2022.00","Hire, supervise, and work with extended coaching staff.","New",,,6,"07/2004","Incumbent"
"27-2022.00","Identify and recruit potential athletes by sending recruitment letters, meeting with recruits, and arranging and offering incentives (e.g., athletic scholarships).","Revision",1744,"Identify and recruit potential athletes, arranging and offering incentives such as athletic scholarships.",11,"07/2004","Incumbent"
"27-2022.00","Keep and review paper, computerized, and video records of athlete, team, and opposing team performance.","Revision",1749,"Keep records of athlete, team, and opposing team performance.",7,"07/2004","Incumbent"
"27-2022.00","Monitor the academic eligibility of student athletes.","New",,,11,"07/2004","Incumbent"
"27-2022.00","Oversee the development and management of the sports program budget and fundraising activities.","New",,,14,"07/2004","Incumbent"
"27-2022.00","Perform activities that support a team or a specific sport, such as participating in community outreach activities, meeting with media representatives, and appearing at fundraising events.","Revision",1759,"Perform activities that support a team or a specific sport, such as meeting with media representatives and appearing at fundraising events.",10,"07/2004","Incumbent"
"27-2022.00","Provide training direction, encouragement, motivation, and nutritional advice to prepare athletes for games, competitive events, and/or tours.","Revision",1743,"Provide training direction, encouragement, and motivation in order to prepare athletes for games, competitive events, and/or tours.",10,"07/2004","Incumbent"
"27-2022.00","Teach instructional courses and advise students.","New",,,11,"07/2004","Incumbent"
"27-2031.00","Prepare pointe shoes (e.g., by sewing) for use in rehearsals and performance.","New",,,10,"12/2005","Incumbent"
"27-2041.04","Produce recordings of music.","New",,,8,"06/2007","Incumbent"
"27-2041.04","Stay abreast of the latest trends in music and music technology.","New",,,9,"06/2007","Incumbent"
"27-2042.02","Arrange and edit music to fit style and purpose.","New",,,6,"06/2006","Incumbent"
"27-2042.02","Perform before live audiences including concerts, recitals, educational presentations, and other social gatherings.","Revision",9312,"Perform before live audiences.",5,"06/2006","Incumbent"
"27-2042.02","Practice musical instrument performances and listen to recordings, individually or in rehearsal with other musicians, to master individual pieces of music and to maintain and improve skills.","Revision",9311,"Practice musical instrument performances, individually or in rehearsal with other musicians, to master individual pieces of music and to maintain and improve skills.",14,"06/2006","Incumbent"
"27-3011.00","Develop story lines for broadcasts.","New",,,6,"12/2004","Incumbent"
"27-3011.00","Maintain organization of the music library.","New",,,5,"12/2004","Incumbent"
"27-3011.00","Write and edit video and scripts for broadcasts.","New",,,35,"12/2004","Incumbent"
"27-3012.00","Select and play appropriate music for the crowd.","New",,,10,"12/2005","Incumbent"
"27-3012.00","Set up and test various equipment, including sound equipment, before each event.","New",,,11,"12/2005","Incumbent"
"27-3022.00","Assign stories to other reporters and duties to production staff.","New",,,6,"12/2004","Incumbent"
"27-3022.00","Communicate with readers, viewers, advertisers, and the general public via mail, email, and telephone.","New",,,6,"12/2004","Incumbent"
"27-3022.00","Determine the emphasis, length, format, and layout of a story, publication, or broadcast and organize the material accordingly.","Revision",3949,"Determine a story's emphasis, length, and format, and organize material accordingly.",13,"12/2004","Incumbent"
"27-3022.00","Establish and maintain relationships with individuals who are credible sources of information.","New",,,9,"12/2004","Incumbent"
"27-3022.00","Participate in community events, make public appearances, and conduct community service.","New",,,13,"12/2004","Incumbent"
"27-3022.00","Review written, audio, and video copy and correct errors in content, grammar, and punctuation, following prescribed editorial style and formatting guidelines.","Revision",3947,"Review copy and correct errors in content, grammar, and punctuation, following prescribed editorial style and formatting guidelines.",8,"12/2004","Incumbent"
"27-3022.00","Take pictures and video and process them for inclusion in a story.","New",,,6,"12/2004","Incumbent"
"27-3042.00","Develop and maintain online help documentation.","New",,,6,"12/2004","Incumbent"
"27-4011.00","Analyze and maintain data logs for audiovisual activities.","New",,,6,"12/2004","Incumbent"
"27-4011.00","Diagnose and resolve media system problems (e.g., in classrooms).","Revision",3986,"Diagnose and resolve media system problems in classrooms.",5,"12/2004","Incumbent"
"27-4011.00","Install, adjust, and operate electronic equipment used to record, edit, and transmit radio and television programs, motion pictures, video conferencing, and multimedia presentations.","Revision",3983,"Install, adjust, and operate electronic equipment used to record, edit, and transmit radio and television programs, cable programs, and motion pictures.",11,"12/2004","Incumbent"
"27-4011.00","Reserve audiovisual equipment and facilities (e.g., meeting rooms).","New",,,7,"12/2004","Incumbent"
"27-4012.00","Develop employee work schedules.","New",,,6,"12/2004","Incumbent"
"27-4012.00","Install broadcast equipment, and troubleshoot equipment problems and perform maintenance and minor repairs, using hand tools.","Revision",4019,"Perform preventive and minor equipment maintenance, using hand tools.",54,"12/2004","Incumbent"
"27-4012.00","Make commercial dubs.","New",,,6,"12/2004","Incumbent"
"27-4012.00","Monitor and log transmitter readings.","New",,,17,"12/2004","Incumbent"
"27-4012.00","Play and record broadcast programs using automation systems.","New",,,5,"12/2004","Incumbent"
"27-4012.00","Produce graphics for broadcasts.","New",,,6,"12/2004","Incumbent"
"27-4012.00","Set-up, operate, and maintain broadcast station computers and networks.","New",,,22,"12/2004","Incumbent"
"27-4014.00","Convert video and audio recordings into digital formats for editing or archiving.","New",,,7,"12/2005","Incumbent"
"27-4021.00","Store photographs into computers for editing, archiving, and electronic transmission.","Revision",9348,"Scan photographs into computers for editing, storage, and electronic transmission.",5,"06/2006","Incumbent"
"27-4021.00","Write photograph captions.","New",,,5,"06/2006","Incumbent"
"27-4031.00","Assemble studio sets, and select and arrange cameras, film stock, audio, and lighting equipment to be used during filming.","Revision",4040,"Select and assemble cameras, accessories, equipment, and film stock to be used during filming, using knowledge of filming techniques, requirements, and computations.",24,"12/2004","Incumbent"
"27-4031.00","Design graphics for studio productions.","New",,,7,"12/2004","Incumbent"
"27-4031.00","Direct studio productions.","New",,,10,"12/2004","Incumbent"
"27-4031.00","Edit video for broadcast productions, including non-linear editing.","New",,,44,"12/2004","Incumbent"
"27-4031.00","Set up and perform live shots for broadcast.","New",,,9,"12/2004","Incumbent"
"27-4031.00","Set-up and operate electric news gathering (ENG) microwave vehicles to gather and edit raw footage on location to send to television affiliates for broadcast.","Revision",4036,"Gather and edit raw footage on location to send to television affiliates for broadcast, using electronic news-gathering or film-production equipment.",26,"12/2004","Incumbent"
"27-4031.00","Stay current with new technologies in the field (e.g., by reading trade magazines).","New",,,7,"12/2004","Incumbent"
"27-4031.00","Test, clean, maintain, and repair broadcast equipment, including testing microphones, to ensure proper working condition.","Revision",4034,"Test, clean, and maintain equipment to ensure proper working condition.",9,"12/2004","Incumbent"
"27-4031.00","Write new scripts for broadcasts.","New",,,12,"12/2004","Incumbent"
"29-1011.00","Recommend and arrange for diagnostic procedures, such as blood chemistry tests, saliva tests, x-rays and other imaging procedures.","Revision",6921,"Arrange for diagnostic x-rays to be taken.",4,"06/2008","Occupational Expert"
"29-1024.00","Replace missing teeth and associated oral structures with permanent fixtures, such as implant-supported prostheses, crowns and bridges, or removable fixtures, such as dentures.","Revision",7742,"Replace missing teeth and associated oral structures with permanent fixtures, such as crowns and bridges, or removable fixtures, such as dentures.",15,"12/2005","Incumbent"
"29-1062.00","Train residents, medical students, and other health care professionals.","New",,,6,"12/2005","Incumbent"
"29-1081.00","Treat bone, muscle, and joint disorders affecting the feet and ankles.","Revision",7848,"Treat bone, muscle, and joint disorders affecting the feet.",5,"12/2005","Incumbent"
"29-1111.00","Administer medications to patients and monitor patients for reactions or side effects.","New",,,23,"06/2008","Incumbent"
"29-1121.00","Administer hearing, speech/language, or balance disorder evaluations, tests, or examinations to patients to collect information on type and degree of impairment, using specialized instruments and electronic equipment.","Revision",7860,"Administer hearing or speech/language evaluations, tests, or examinations to patients to collect information on type and degree of impairment, using specialized instruments and electronic equipment.",8,"12/2005","Incumbent"
"29-1121.00","Counsel and instruct clients and their families in techniques to improve hearing or speech impairment, including sign language or lip-reading.","Revision",7864,"Counsel and instruct clients in techniques to improve hearing or speech impairment, including sign language or lip-reading.",9,"12/2005","Incumbent"
"29-1121.00","Engage in marketing activities (e.g., develop marketing plans) to promote business for private practices.","New",,,9,"12/2005","Incumbent"
"29-1121.00","Evaluate hearing, balance, and speech/language disorders to determine diagnoses and courses of treatment.","Revision",7859,"Evaluate hearing and speech/language disorders to determine diagnoses and courses of treatment.",6,"12/2005","Incumbent"
"29-1121.00","Fit, dispense, and repair assistive devices, such as hearing aids.","Revision",7861,"Fit and dispense assistive devices, such as hearing aids.",9,"12/2005","Incumbent"
"29-1121.00","Perform administrative tasks such as photocopying, filing, and managing office finances (e.g., monitoring budget, handling accounting payable and receivable).","New",,,9,"12/2005","Incumbent"
"29-1121.00","Plan and conduct treatment programs for clients' hearing, speech, or vertigo problems, consulting with physicians, nurses, psychologists, and other health care personnel as necessary.","Revision",7866,"Plan and conduct treatment programs for clients' hearing or speech problems, consulting with physicians, nurses, psychologists, and other health care personnel as necessary.",7,"12/2005","Incumbent"
"29-1121.00","Provide information to the public, and advise educators and other medical staff on speech or hearing topics.","Revision",7871,"Advise educators or other medical staff on speech or hearing topics.",8,"12/2005","Incumbent"
"29-1124.00","Schedule patients for treatment times.","New",,,7,"06/2008","Incumbent"
"29-1125.00","Develop discharge plans for patients.","New",,,4,"06/2008","Occupational Expert"
"29-1126.00","Work as part of a team of physicians, nurses, and other health care professionals to manage patient care by assisting with medical procedures and related duties.","Revision",402,"Work as part of a team of physicians, nurses and other health care professionals to manage patient care.",10,"03/2003","Incumbent"
"29-1127.00","Complete administrative responsibilities, such as coordinating paperwork, scheduling case management activities, and writing lesson plans.","New",,,7,"07/2004","Incumbent"
"29-1127.00","Consult with and refer clients to additional medical or educational services.","Revision",1880,"Refer clients to additional medical or educational services if needed.",5,"07/2004","Incumbent"
"29-1127.00","Develop individual or group activities and programs in schools to deal with behavior, speech, language, or swallowing problems.","Revision",1872,"Develop individual or group programs in schools to deal with speech or language problems.",10,"07/2004","Incumbent"
"29-1127.00","Educate patients and family members about various topics, such as communication techniques and strategies to cope with or avoid personal misunderstandings.","Revision",1877,"Instruct patients and family members in strategies to cope with or avoid communication-related misunderstandings.",6,"07/2004","Incumbent"
"29-1127.00","Evaluate hearing and speech/language test results, barium swallow results, and medical or background information to diagnose and plan treatment for speech, language, fluency, voice, and swallowing disorders.","Revision",1868,"Evaluate hearing and speech/language test results and medical or background information to diagnose and plan treatment for speech, language, fluency, voice, and swallowing disorders.",12,"07/2004","Incumbent"
"29-1127.00","Participate in and write reports for meetings regarding patients' progress, such as individualized educational planning (IEP) meetings, in-service meetings, and intervention assistance team meetings.","New",,,10,"07/2004","Incumbent"
"29-1127.00","Participate in conferences, training, continuing education courses, or publish research results to share knowledge of new hearing or speech disorder treatment methods or technologies.","Revision",1881,"Participate in conferences or training, or publish research results, to share knowledge of new hearing or speech disorder treatment methods or technologies.",5,"07/2004","Incumbent"
"29-1127.00","Supervise and collaborate with therapy team.","New",,,5,"07/2004","Incumbent"
"29-1127.00","Write reports and maintain proper documentation of information, such as client Medicaid and billing records and caseload activities, including the initial evaluation, treatment, progress, and discharge of clients.","Revision",1870,"Record information on the initial evaluation, treatment, progress, and discharge of clients.",10,"07/2004","Incumbent"
"29-1131.00","Advise animal owners regarding sanitary measures, feeding, general care, medical conditions, and treatment options.","Revision",4111,"Advise animal owners regarding sanitary measures, feeding, and general care necessary to promote health of animals.",6,"12/2004","Incumbent"
"29-1131.00","Attend lectures, conferences, and continuing education courses.","New",,,7,"12/2004","Incumbent"
"29-1131.00","Perform administrative and business management tasks such as scheduling appointments, accepting payments from clients, budgeting, and maintaining business records.","Revision",4118,"Perform administrative duties such as scheduling appointments, accepting payments from clients, and maintaining business records.",8,"12/2004","Incumbent"
"29-2012.00","Set up, maintain, calibrate, clean, and test sterility of medical laboratory equipment.","Revision",1903,"Set up, adjust, maintain and clean medical laboratory equipment.",5,"07/2004","Incumbent"
"29-2021.00","Maintain dental equipment and sharpen and sterilize dental instruments.","New",,,16,"03/2003","Incumbent"
"29-2021.00","Maintain patient recall system.","New",,,8,"03/2003","Incumbent"
"29-2021.00","Provide clinical services and health education to improve and maintain the oral health of patients and the general public.","Revision",423,"Provide clinical services and health education to improve and maintain oral health of school children.",25,"03/2003","Incumbent"
"29-2021.00","Record and review patient medical histories.","New",,,7,"03/2003","Incumbent"
"29-2031.00","Assist surgeons with vascular procedures, such as preparing balloons and stents.","New",,,11,"06/2008","Incumbent"
"29-2034.02","Assure that sterile and non-sterile supplies, such as contrast materials, catheters, films, chemicals, and other required equipment, are present and in working order and requisition materials.","Revision",1927,"Assure that sterile supplies, contrast materials, catheters, and other required equipment are present and in working order, requisitioning materials as necessary.",8,"07/2004","Incumbent"
"29-2034.02","Collect and maintain records of patients examined, examinations performed, patient medical histories, views taken, and technical factors used.","Revision",1928,"Maintain records of patients examined, examinations performed, views taken, and technical factors used.",6,"07/2004","Incumbent"
"29-2034.02","Complete quality control activities, monitor equipment operation, and report malfunctioning equipment to supervisor.","Revision",1930,"Monitor equipment operation and report malfunctioning equipment to supervisor.",5,"07/2004","Incumbent"
"29-2034.02","Perform general administrative tasks, such as answering phones, scheduling patient appointments, and pulling and filing films.","New",,,9,"07/2004","Incumbent"
"29-2051.00","Conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs.","Revision",4168,"Obtain and evaluate dietary histories of individuals to plan nutritional programs.",7,"06/2008","Incumbent"
"29-2052.00","Prepack bulk medicines, fill bottles with prescribed medications, and type and affix labels.","Revision",1942,"Fill bottles with prescribed medications and type and affix labels.",17,"07/2004","Incumbent"
"29-2052.00","Receive and store incoming supplies, verify quantities against invoices, check for outdated medications in current inventory, and inform supervisors of stock needs and shortages.","Revision",1948,"Receive and store incoming supplies, verify quantities against invoices, and inform supervisors of stock needs and shortages.",12,"07/2004","Incumbent"
"29-2052.00","Restock intravenous (IV) supplies and add measured drugs or nutrients to IV solutions under sterile conditions to prepare IV packs for various uses (e.g., for chemotherapy medication).","Revision",1950,"Add measured drugs or nutrients to intravenous solutions under sterile conditions to prepare intravenous (IV) packs under pharmacist supervision.",7,"07/2004","Incumbent"
"29-2054.00","Collect and analyze arterial blood gas samples.","New",,,8,"03/2003","Incumbent"
"29-2056.00","Maintain controlled drug inventory and related log books.","New",,,7,"12/2004","Incumbent"
"29-2056.00","Monitor medical supplies and place orders when inventory is low.","New",,,9,"12/2004","Incumbent"
"29-2056.00","Supervise and train veterinary students and other staff members.","New",,,11,"12/2004","Incumbent"
"29-2081.00","Order and purchase frames and lenses.","New",,,10,"12/2004","Incumbent"
"29-9091.00","File athlete insurance claims and communicate with insurance providers.","New",,,13,"12/2004","Incumbent"
"29-9091.00","Perform general administrative tasks such as keeping records and writing reports.","New",,,6,"12/2004","Incumbent"
"29-9091.00","Teach sports medicine courses to athletic training students.","New",,,9,"12/2004","Incumbent"
"31-1011.00","Administer prescribed oral medications, under the written direction of physician or as directed by home care nurse and aide, and ensure patients take their medicine.","Revision",4251,"Administer prescribed oral medications under written direction of physician or as directed by home care nurse and aide.",5,"12/2004","Incumbent"
"31-1011.00","Care for patients by changing bed linens, washing and ironing laundry, cleaning, and assisting with their personal care.","Revision",4243,"Change bed linens, wash and iron patients' laundry, and clean patients' quarters.",8,"12/2004","Incumbent"
"31-1012.00","Assist patients with toileting or changing soiled undergarments.","New",,,13,"06/2008","Incumbent"
"31-1012.00","Chart patients' behaviors and their activities of daily living (ADLs).","New",,,7,"06/2008","Incumbent"
"31-1013.00","Complete administrative tasks, such as entering orders into computer, answering telephone calls, and maintaining medical and facility information.","New",,,8,"07/2004","Incumbent"
"31-1013.00","Complete physical checks and monitor patients to detect unusual or harmful behavior, and report observations to professional staff.","Revision",1993,"Monitor patients in order to detect unusual behavior, and report observations to professional staff.",5,"07/2004","Incumbent"
"31-1013.00","Record and maintain patient information, such as vital signs, eating habits, behavior, progress notes, and treatment and discharge plans.","Revision",1995,"Record and maintain records of patient condition and activity, including vital signs, eating habits, and behavior.",10,"07/2004","Incumbent"
"31-2011.00","Attend care plan meetings to review patient progress and update care plans.","New",,,7,"12/2004","Incumbent"
"31-2011.00","Attend continuing education classes.","New",,,6,"12/2004","Incumbent"
"31-2011.00","Communicate and collaborate with other healthcare professionals involved with the care of a patient.","New",,,9,"12/2004","Incumbent"
"31-9091.00","Fabricate and fit orthodontic appliances and materials for patients, such as retainers, wires, and bands.","New",,,7,"03/2003","Incumbent"
"31-9091.00","Order and monitor dental supplies and equipment inventory.","New",,,14,"03/2003","Incumbent"
"31-9093.00","Maintain records of inventory and equipment usage, and order medical instruments and supplies when inventory is low.","Revision",4300,"Maintain records of inventory and equipment usage.",5,"12/2004","Incumbent"
"31-9093.00","Stock crash carts and other medical supplies.","New",,,8,"12/2004","Incumbent"
"31-9095.00","Prepare IV solutions and solid dosage medications for dispensing into bottles and unit dosing packaging.","Revision",2047,"Prepare solid and liquid dosage medications for dispensing into bottles and unit dose packaging.",12,"07/2004","Incumbent"
"31-9095.00","Provide customers with information about the uses, effects, and interactions of drugs and out of stock items.","Revision",2056,"Provide customers with information about the uses and effects of drugs.",5,"07/2004","Incumbent"
"31-9095.00","Receive, store, and inventory pharmaceutical supplies and medications, check for out dated medications, and notify pharmacist when inventory levels are low.","Revision",2051,"Receive, store and inventory pharmaceutical supplies, notifying pharmacist when levels are low.",5,"07/2004","Incumbent"
"33-1021.01","Compile and maintain records on personnel, accidents, equipment, and supplies.","Revision",4345,"Compile and maintain equipment and personnel records, including accident reports.",6,"12/2004","Incumbent"
"33-1021.01","Perform maintenance and minor repairs on firefighting equipment, including vehicles, and write and submit proposals to modify, replace, and repair equipment.","Revision",4349,"Write and submit proposals for repair, modification, or replacement of firefighting equipment.",15,"12/2004","Incumbent"
"33-2021.01","Teach public education programs on fire safety and prevention.","New",,,27,"12/2004","Incumbent"
"33-2021.02","Coordinate efforts with other organizations, such as law enforcement agencies.","New",,,7,"07/2005","Incumbent"
"33-2022.00","Conduct wildland firefighting training.","New",,,7,"12/2006","Incumbent"
"33-2022.00","Educate the public about fire safety and prevention.","New",,,9,"12/2006","Incumbent"
"33-3011.00","Check courtroom for security and cleanliness and assure availability of sundry supplies (e.g., notepads) for use of judge, jurors, and attorneys.","Revision",2096,"Check courtroom for security and cleanliness and assure availability of sundry supplies for use of judge.",5,"07/2004","Incumbent"
"33-3011.00","Escort prisoners to and from courthouse, and maintain custody of prisoners during court proceedings.","New",,,16,"07/2004","Incumbent"
"33-3011.00","Maintain court docket.","New",,,6,"07/2004","Incumbent"
"33-3011.00","Provide security by patrolling interior and exterior of courthouse and escorting judges and other court employees.","New",,,19,"07/2004","Incumbent"
"33-3011.00","Screen persons entering courthouse using magnetometers, x-ray machines, and other devices to collect and retain unauthorized firearms and other contraband.","Revision",2090,"Collect and retain unauthorized firearms from persons entering courtroom.",12,"07/2004","Incumbent"
"33-3011.00","Screen, control, and handle evidence and exhibits during court proceedings.","New",,,5,"07/2004","Incumbent"
"33-3021.02","Coordinate or conduct instructional classes or in-services, such as citizen police academy classes and crime scene training for other officers.","New",,,7,"07/2004","Incumbent"
"33-3021.02","Identify, compare, classify, and file fingerprints using systems such as AFIS or the Henry Classification System.","Revision",2130,"Identify, classify, and file fingerprints, using systems such as the Henry Classification system.",6,"07/2004","Incumbent"
"33-3021.02","Interview victims, witnesses, suspects, and other law enforcement personnel.","New",,,7,"07/2004","Incumbent"
"33-3021.02","Maintain records of evidence and write and review reports.","New",,,6,"07/2004","Incumbent"
